contig_id	source	strand	start	end
contig00001	prokka	1	260	584
contig00001	prokka	-1	881	1151
contig00001	prokka	-1	1162	2122
contig00001	prokka	-1	2504	3563
contig00001	prokka	-1	3713	3911
contig00001	prokka	-1	4145	4763
contig00001	prokka	-1	4829	5222
contig00001	prokka	-1	5239	6229
contig00001	prokka	-1	6281	6539
contig00001	prokka	-1	6535	7936
contig00001	prokka	-1	7932	8811
contig00001	prokka	-1	8821	9814
contig00001	prokka	-1	9810	10137
contig00001	prokka	-1	10133	10358
contig00001	prokka	-1	10354	11206
contig00001	prokka	-1	11202	12027
contig00001	prokka	-1	12079	12787
contig00001	prokka	-1	12868	13126
contig00001	prokka	1	13258	13948
contig00001	prokka	1	14095	14797
contig00001	prokka	1	14793	14994
contig00001	prokka	1	15192	15375
contig00001	prokka	1	15380	15953
contig00001	prokka	1	16322	17150
contig00001	prokka	1	17190	17562
contig00001	prokka	1	17593	17710
contig00001	prokka	1	17753	18008
contig00001	prokka	1	18041	19328
contig00001	prokka	1	19402	20050
contig00001	prokka	1	20109	20217
contig00001	prokka	-1	20197	20929
contig00001	prokka	-1	20933	21860
contig00001	prokka	-1	21852	23010
contig00001	prokka	-1	23016	23934
contig00001	prokka	-1	24144	26412
contig00001	prokka	1	26637	28353
contig00001	prokka	-1	28391	29324
contig00001	prokka	-1	29497	30085
contig00001	prokka	1	30254	30833
contig00001	prokka	-1	30962	31724
contig00001	prokka	-1	31776	33213
contig00001	prokka	-1	33907	34858
contig00001	prokka	1	35096	35495
contig00001	prokka	1	35491	36187
contig00001	prokka	1	36316	37201
contig00001	prokka	1	37350	38070
contig00001	prokka	1	38072	38312
contig00001	prokka	1	38630	39869
contig00001	prokka	1	39862	41098
contig00001	prokka	-1	41168	42179
contig00001	prokka	-1	42194	43715
contig00001	prokka	-1	43775	44774
contig00001	prokka	-1	45053	46094
contig00001	prokka	-1	46235	47393
contig00001	prokka	-1	47409	48078
contig00001	prokka	1	48335	49172
contig00001	prokka	-1	49203	49680
contig00001	prokka	-1	49663	51196
contig00001	prokka	-1	51488	52958
contig00001	prokka	-1	53162	54044
contig00001	prokka	1	54142	55192
contig00001	prokka	1	55265	56123
contig00001	prokka	1	56126	57215
contig00001	prokka	-1	57270	58521
contig00001	prokka	-1	58620	59562
contig00001	prokka	1	59691	60390
contig00001	prokka	-1	60457	61708
contig00001	prokka	-1	61801	62740
contig00001	prokka	-1	62727	63669
contig00001	prokka	-1	64092	65784
contig00001	prokka	-1	65800	66739
contig00001	prokka	-1	66738	67869
contig00001	prokka	1	68236	69418
contig00001	prokka	-1	69414	69669
contig00001	prokka	1	69823	70396
contig00001	prokka	1	70618	72085
contig00001	prokka	1	72202	73189
contig00001	prokka	1	73227	73941
contig00001	prokka	1	74352	74919
contig00001	prokka	1	75099	76656
contig00001	prokka	1	76737	78552
contig00001	prokka	1	78552	79647
contig00001	prokka	1	79646	80672
contig00001	prokka	1	80673	82263
contig00001	prokka	-1	82266	82611
contig00001	prokka	-1	82943	84134
contig00001	prokka	-1	84161	84857
contig00001	prokka	1	85005	86766
contig00001	prokka	1	86890	87175
contig00001	prokka	-1	87313	88321
contig00001	prokka	1	88502	88730
contig00001	prokka	1	88749	90510
contig00001	prokka	-1	90989	93305
contig00001	prokka	1	93675	94323
contig00001	prokka	-1	94357	95410
contig00001	prokka	-1	95406	95964
contig00001	prokka	-1	95960	97904
contig00001	prokka	-1	97900	98380
contig00001	prokka	-1	98376	98586
contig00001	prokka	-1	98582	99320
contig00001	prokka	-1	99361	100024
contig00001	prokka	-1	100020	100638
contig00001	prokka	-1	100656	101259
contig00001	prokka	-1	101268	101718
contig00001	prokka	-1	101714	102578
contig00001	prokka	-1	102564	103260
contig00001	prokka	-1	103266	105753
contig00001	prokka	-1	105749	106013
contig00001	prokka	-1	106002	106497
contig00001	prokka	1	106605	106770
